Hour,Primary Volume (Gallons Storage Temp),Primary Generation (Gallons Storage Temp),HW Demand (Gallons Storage Temp),HW Demand (Gallons Supply Temp),Recirculation Loss to Primary System (Gallons Supply Temp),Theoretical HW Generation (Gallons Supply Temp),Primary Run Time (Min),Input Capacity (kW),Output Capacity (kW),Primary COP,ON Setpoint Tank Volume (%),ON Setpoint Temperature (F),Actual Temperature at ON Setpoint (F),OFF Setpoint Tank Volume (%),OFF Setpoint Temperature (F),Actual Temperature at OFF Setpoint (F),Temperature at 100% Tank Volume (F),Temperature at 75% Tank Volume (F),Temperature at 50% Tank Volume (F),Temperature at 25% Tank Volume (F),Temperature at 0% Tank Volume (F),OAT (F),C02 Emissions (kG)
1.0,2442.791,0,107.2089890627864,73.265,103.0310625986588,814.367,0.0,52.342600000000004,117.565425,2.2460753764620023,0.4,122,160,0.4,160,160,160,160,160,139.9938276874733,69.99382768747327,55.4,0.0
2.0,2276.177,0,166.61422439724421,170.952,103.0310625986588,814.367,0.0,52.342600000000004,117.565425,2.2460753764620023,0.4,122,160,0.4,160,160,160,160,160,124.44316674373047,63.032,55.4,0.0
3.0,2183.819,0,92.35767882943603,48.844,103.0310625986588,813.12,0.0,53.4946,117.38542500000001,2.194341578402306,0.4,122,157.82311671964976,0.4,160,157.82311671964976,160,160,160,115.82311671964979,63.032,53.6,0.0
4.0,2061.759,0,122.06029929613679,97.687,103.0310625986588,813.12,0.0,53.4946,117.38542500000001,2.194341578402306,0.4,122,146.43082211867699,0.4,160,146.43082211867699,160,160,160,104.43082211867701,63.032,53.6,0.0
5.0,1954.55,0,107.2089890627864,73.265,103.0310625986588,813.12,0.0,53.4946,117.38542500000001,2.194341578402306,0.4,122,136.42464980615028,0.4,160,136.42464980615028,160,160,160,94.42464980615028,63.032,53.6,0.0
6.0,1877.043,0,77.50636859608564,24.422,103.0310625986588,813.12,0.0,53.4946,117.38542500000001,2.194341578402306,0.4,122,129.19072207051562,0.4,160,129.19072207051562,160,160,157.19072207051562,87.19072207051563,63.032,53.6,0.0
7.0,1814.388,0,62.655058362735254,0.0,103.0310625986588,813.12,0.0,53.4946,117.38542500000001,2.194341578402306,0.4,122,123.342916623327,0.4,160,123.342916623327,160,160,151.34291662332697,81.342916623327,63.032,53.6,0.0
8.0,2139.47,417.439,92.35767882943603,48.844,103.0310625986588,813.12,50.65260675117571,53.4946,117.38542500000001,2.194341578402306,0.4,122,153.68384595546405,0.4,160,153.68384595546405,160,160,160,111.68384595546408,63.032,53.6,22.613448709742734
9.0,2207.143,249.139,181.46553463059456,195.374,103.0310625986588,815.614,30.138379041254623,51.1906,117.74542500000001,2.3001376229229584,0.4,122,160.0,0.4,160,160.0,160,160,160,118.00000000000001,63.032,57.2,12.93838406306409
10.0,1921.718,0,285.4247006651035,366.326,103.0310625986588,816.373,0.0,50.13341666666666,117.85505,2.350828206735029,0.4,122,133.36036127125703,0.4,160,133.36036127125703,160,160,160,91.36036127125703,63.032,59.0,0.0
11.0,1868.229,98.274,151.7629141638938,146.531,103.0310625986588,816.296,11.878300249437872,47.84673,117.84393999999999,2.4629465796304153,0.4,122,128.3680632735378,0.4,160,128.3680632735378,160,160,156.3680632735378,86.36806327353783,63.032,62.6,4.413124616181081
12.0,2064.206,496.253,300.27601089845393,390.748,103.0310625986588,816.047,60.0,47.23472999999999,117.80793999999997,2.4940957638584997,0.4,122,146.65922529346528,0.4,160,146.65922529346528,160,160,160,104.65922529346528,63.032,64.4,20.891580800005077
